student_id,study_hour,attendance_percentage,class_participation,Assignment_Scores,Test_Scores,total_score,grade,Previous_GPA
79,15.6,100.0,6.1,38.0,70.5,91.7,A,4.0
917,19.3,87.4,3.0,41.9,71.5,96.3,A,3.92
1173,15.7,84.6,6.2,35.7,60.9,83.8,B,3.34
1239,19.0,78.4,5.1,42.8,86.8,100.0,A,3.8
1711,22.7,75.3,6.3,45.5,72.9,100.0,A,3.71
1930,28.7,68.5,5.4,49.8,78.4,100.0,A,3.51
2086,6.5,83.8,7.5,24.7,55.0,69.2,C,2.73
2335,21.2,88.7,6.2,44.1,71.9,98.7,A,4.0
2363,4.3,83.7,6.4,21.6,51.3,63.9,C,2.52
3520,0.0,99.2,5.1,13.9,39.7,49.8,D,2.42
3727,18.5,80.3,7.5,41.2,71.8,95.7,A,3.69
3919,21.6,72.3,9.3,44.7,78.8,100.0,A,3.62
4417,16.8,90.2,5.3,41.3,82.5,100.0,A,4.0
4730,15.1,96.2,7.4,36.1,65.3,86.8,A,3.81
4899,19.7,94.0,7.8,43.4,77.7,100.0,A,4.0
5465,1.2,73.5,5.7,17.3,46.9,57.0,C,1.93
5792,0.0,80.6,6.0,9.6,28.7,40.6,D,1.49
6299,12.6,78.1,5.8,35.6,73.7,91.2,A,3.44
7464,6.9,73.0,6.1,24.2,51.1,66.5,C,2.3
8470,11.0,89.0,9.3,33.5,71.6,87.8,A,3.63
8718,16.0,77.0,9.4,40.7,80.8,100.0,A,3.76
8986,26.7,85.3,4.2,48.3,70.9,100.0,A,4.0
9955,16.8,87.8,7.2,37.8,65.0,88.3,A,3.62
10465,13.1,95.2,2.3,38.7,85.5,100.0,A,4.0
10677,22.7,66.6,6.7,45.5,76.8,100.0,A,3.45
12285,14.0,90.6,2.8,33.8,60.4,81.6,B,3.43
12316,20.3,91.5,7.5,43.1,72.1,97.9,A,4.0
12974,16.6,72.8,6.2,41.2,82.5,100.0,A,3.63
13038,10.6,73.9,8.0,35.8,82.5,96.5,A,3.53
13374,15.5,66.3,7.2,40.3,82.4,100.0,A,3.44
13997,17.9,90.7,4.3,42.1,81.6,100.0,A,4.0
